teritory,year,power_spec,power_needed,kwh_needed,megawatt_capacity
Haryana,2019.01.01,5451,5449,2149.3,12290
Himachal Pradesh,2019.01.01,1042,1035,1509.9,4007
Jammu and Kashmir,2019.01.01,2003,1626,1316.6,3417
Jharkhand,2019.01.01,894,887,268.2,2514
Karnataka,2019.01.01,7280,7280,1190.7,29825
Kerala,2019.01.01,2632,2627,787.2,5696
Lakshadweep,2019.01.01,5,5,714.0,1
Madhya Pradesh,2019.01.01,7617,7617,1043.9,24821
Maharashtra,2019.01.01,15517,15517,1380.8,43496
Manipur,2019.01.01,92,92,341.0,268
Meghalaya,2019.01.01,211,206,695.3,609
Mizoram,2019.01.01,65,64,613.5,212
Nagaland,2019.01.01,81,81,415.7,175
Odisha,2019.01.01,2969,2969,700.4,8567
Puducherry,2019.01.01,285,285,2282.8,375
Punjab,2019.01.01,5678,5677,2047.7,14205
Rajasthan,2019.01.01,8128,8122,1183.9,25360
Sikkim,2019.01.01,55,55,885.7,674
Tamil Nadu,2019.01.01,10882,10881,1506.9,32840
Telangana,2019.01.01,6831,6830,1941.7,16024
Tripura,2019.01.01,154,152,411.8,764
Uttar Pradesh,2019.01.01,12255,12100,606.2,26162
Uttarakhand,2019.01.01,1447,1438,1421.0,3550
West Bengal,2019.01.01,5295,5282,587.2,11027
Andaman and Nicobar Islands,2020.01.01,35,32,850.1,75
Andhra Pradesh,2020.01.01,6208,6208,1254.5,25484
Arunachal Pradesh,2020.01.01,72,71,514.0,765
Assam,2020.01.01,1019,982,313.7,1794
Chandigarh,2020.01.01,152,152,1434.9,215
Chhattisgarh,2020.01.01,3047,3045,1176.8,13076
Dadra and Nagar Haveli,2020.01.01,550,550,16071.3,509
Daman and Diu,2020.01.01,222,222,9147.9,256
Delhi,2020.01.01,2956,2956,1764.1,7590
Goa,2020.01.01,408,408,2793.1,596
Gujarat,2020.01.01,11162,11162,1852.0,37893
Haryana,2020.01.01,5316,5311,2094.7,12481
Himachal Pradesh,2020.01.01,1019,1013,1477.4,4155
Jammu and Kashmir,2020.01.01,1977,1722,1394.5,3478
Jharkhand,2020.01.01,995,968,292.5,2548
Karnataka,2020.01.01,6885,6883,1125.9,30091
Kerala,2020.01.01,2512,2510,752.3,5837
Lakshadweep,2020.01.01,6,6,869.2,1
Madhya Pradesh,2020.01.01,8344,8344,1143.5,25489
Maharashtra,2020.01.01,15068,15066,1340.7,44166
Manipur,2020.01.01,97,97,360.3,262
Meghalaya,2020.01.01,203,201,675.4,616
Mizoram,2020.01.01,73,72,689.9,207
Nagaland,2020.01.01,83,82,422.4,179
Odisha,2020.01.01,2985,2985,704.1,8594
Puducherry,2020.01.01,264,264,2120.8,380
Punjab,2020.01.01,5845,5838,2105.6,14389
Rajasthan,2020.01.01,8531,8521,1241.9,26045
Sikkim,2020.01.01,55,55,872.9,678
Tamil Nadu,2020.01.01,10119,10119,1401.4,33695
Telangana,2020.01.01,6700,6699,1904.5,17218
Tripura,2020.01.01,148,148,402.5,724
Uttar Pradesh,2020.01.01,12437,12338,618.1,27896
Uttarakhand,2020.01.01,1383,1382,1365.8,3731
West Bengal,2020.01.01,5164,5154,572.9,11037
